model	dataset	k	n_repeats	threshold	accuracy	precision	recall	specificity	f1	tp	tn	fp	fn
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.23931623931623933	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.24074074074074076	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.24216524216524218	0.956	0.421	0.286	0.983	0.339	8	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2435897435897436	0.955	0.415	0.279	0.983	0.332	7	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.245014245014245	0.955	0.415	0.279	0.983	0.332	7	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.24643874643874644	0.955	0.415	0.279	0.983	0.332	7	664	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.24786324786324787	0.956	0.421	0.279	0.984	0.334	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2492877492877493	0.956	0.421	0.279	0.984	0.334	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.25071225071225073	0.956	0.421	0.279	0.984	0.334	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.25213675213675213	0.955	0.412	0.271	0.984	0.326	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2535612535612536	0.955	0.412	0.271	0.984	0.326	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.254985754985755	0.955	0.412	0.271	0.984	0.326	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.25641025641025644	0.955	0.412	0.271	0.984	0.326	7	665	11	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.25783475783475784	0.956	0.425	0.271	0.985	0.330	7	665	10	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.25925925925925924	0.956	0.425	0.271	0.985	0.330	7	665	10	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2606837606837607	0.956	0.425	0.271	0.985	0.330	7	665	10	20
logistic_regression_avg	cc_aquatic_evaluation_combined_super_vector_files	5	1	0.2621082621082621	0.956	0.425	0.271	0.985	0.330	7	665	10	20
